time,ecg,peak
1757168816684.4998,-45,0
1757168816692.1921,-41,0
1757168816699.8845,-41,0
1757168816707.577,-39,0
1757168816715.2693,-36,0
1757168816738.1619,-39,0
1757168816745.8542,-39,0
1757168816753.5466,-34,0
1757168816761.239,-34,0
1757168816768.9314,-34,0
1757168816776.6238,-41,0
1757168816784.3162,-52,0
1757168816792.0085,-50,0
1757168816799.701,-36,0
1757168816807.3933,-34,0
1757168816815.0857,-34,0
1757168816822.778,-29,0
1757168816830.4705,-32,0
1757168816838.1628,-32,0
1757168816845.8552,-25,0
1757168816853.5476,-22,0
1757168816861.24,-20,0
1757168816868.9324,-18,0
1757168816876.6248,-16,0
1757168816884.3171,0,0
1757168816892.0095,11,0
1757168816899.702,9,0
1757168816907.3943,16,0
1757168816915.0867,11,0
1757168816922.779,-16,0
1757168816930.4714,-27,0
1757168816938.1638,-20,0
1757168816945.8562,-18,0
1757168816953.5486,-18,0
1757168816961.241,-25,0
1757168816968.9333,-57,0
1757168816976.6257,-108,0
1757168816984.318,-36,0
1757168816992.0105,367,0
